campaign.resourceName,campaign.name,adGroup.resourceName,adGroup.name,metrics.clicks,metrics.conversions,metrics.ctr,metrics.impressions,adGroupAd.resourceName,adGroupAd.ad.resourceName,adGroupAd.ad.id,asset.resourceName,asset.textAsset.text,asset.id,adGroupAdAssetView.resourceName,adGroupAdAssetView.fieldType,adGroupAdAssetView.performanceLabel,asset.name,utm_campaign_norm,roi_priority_weight
customers/2565189582/campaigns/23622401230,ca-us_brand_search,customers/2565189582/adGroups/193498596229,ca-us_brand_phrase,13,0,0.11304347826086956,115,customers/2565189582/adGroupAds/193498596229~799044719174,customers/2565189582/ads/799044719174,799044719174,customers/2565189582/assets/305748566457,120+ Software Integrations,305748566457,customers/2565189582/adGroupAdAssetViews/193498596229~799044719174~305748566457~HEADLINE,HEADLINE,NOT_APPLICABLE,,,
customers/2565189582/campaigns/23622401230,ca-us_brand_search,customers/2565189582/adGroups/193498596229,ca-us_brand_phrase,26,0,0.23008849557522124,113,customers/2565189582/adGroupAds/193498596229~799044719174,customers/2565189582/ads/799044719174,799044719174,customers/2565189582/assets/242415980319,Property Management Made Easy,242415980319,customers/2565189582/adGroupAdAssetViews/193498596229~799044719174~242415980319~HEADLINE,HEADLINE,NOT_APPLICABLE,,,
customers/2565189582/campaigns/23622401230,ca-us_brand_search,customers/2565189582/adGroups/193498596229,ca-us_brand_phrase,31,1.25,0.28440366972477066,109,customers/2565189582/adGroupAds/193498596229~799044719174,customers/2565189582/ads/799044719174,799044719174,customers/2565189582/assets/297834518115,All-in-One PMS Solution,297834518115,customers/2565189582/adGroupAdAssetViews/193498596229~799044719174~297834518115~HEADLINE,HEADLINE,NOT_APPLICABLE,,,
customers/2565189582/campaigns/23658078636,au-uk_pms_search,customers/2565189582/adGroups/195976497564,au-uk_pms_phrase,4,0,0.037037037037037035,108,customers/2565189582/adGroupAds/195976497564~800674113561,customers/2565189582/ads/800674113561,800674113561,customers/2565189582/assets/340619883707,Short-Term Letting Automation,340619883707,customers/2565189582/adGroupAdAssetViews/195976497564~800674113561~340619883707~HEADLINE,HEADLINE,NOT_APPLICABLE,,,
customers/2565189582/campaigns/23619221250,au-uk_brand_search,customers/2565189582/adGroups/193560810883,au-uk_brand_phrase,6,0,0.05660377358490566,106,customers/2565189582/adGroupAds/193560810883~799258748291,customers/2565189582/ads/799258748291,799258748291,customers/2565189582/assets/337426327264,"Thousands of holiday letting owners use Hostfully to automate, save time, increase revenue",337426327264,customers/2565189582/adGroupAdAssetViews/193560810883~799258748291~337426327264~DESCRIPTION,DESCRIPTION,NOT_APPLICABLE,,,
customers/2565189582/campaigns/23657942340,ca-us_pms_search,customers/2565189582/adGroups/191309906541,ca-us_pms_phrase,2,0,0.019417475728155338,103,customers/2565189582/adGroupAds/191309906541~800782444013,customers/2565189582/ads/800782444013,800782444013,customers/2565189582/assets/340618554170,Scale With Hostfully's PMS,340618554170,customers/2565189582/adGroupAdAssetViews/191309906541~800782444013~340618554170~HEADLINE,HEADLINE,NOT_APPLICABLE,,,
customers/2565189582/campaigns/22161538996,Hostfully - Search - Brand - US/CAN,customers/2565189582/adGroups/175488384442,Brand Core,42,0,0.4117647058823529,102,customers/2565189582/adGroupAds/175488384442~730292443612,customers/2565189582/ads/730292443612,730292443612,customers/2565189582/assets/275532818210,Manage your vacation rental business,275532818210,customers/2565189582/adGroupAdAssetViews/175488384442~730292443612~275532818210~HEADLINE,HEADLINE,NOT_APPLICABLE,,Hostfully - Search - Brand - US/CAN,0.0
customers/2565189582/campaigns/22161538996,Hostfully - Search - Brand - US/CAN,customers/2565189582/adGroups/175488384442,Brand Core,53,3,0.5578947368421052,95,customers/2565189582/adGroupAds/175488384442~798879432661,customers/2565189582/ads/798879432661,798879432661,customers/2565189582/assets/242415980319,Property Management Made Easy,242415980319,customers/2565189582/adGroupAdAssetViews/175488384442~798879432661~242415980319~HEADLINE,HEADLINE,NOT_APPLICABLE,,Hostfully - Search - Brand - US/CAN,0.0
customers/2565189582/campaigns/22161538996,Hostfully - Search - Brand - US/CAN,customers/2565189582/adGroups/175488384442,Brand Core,47,2,0.5,94,customers/2565189582/adGroupAds/175488384442~798879432661,customers/2565189582/ads/798879432661,798879432661,customers/2565189582/assets/297834518142,"The leading property management software for Airbnb, VRBO, and other rental properties.",297834518142,customers/2565189582/adGroupAdAssetViews/175488384442~798879432661~297834518142~DESCRIPTION,DESCRIPTION,NOT_APPLICABLE,,Hostfully - Search - Brand - US/CAN,0.0
customers/2565189582/campaigns/23657942340,ca-us_pms_search,customers/2565189582/adGroups/191309906541,ca-us_pms_phrase,2,0,0.023809523809523808,84,customers/2565189582/adGroupAds/191309906541~800782444013,customers/2565189582/ads/800782444013,800782444013,customers/2565189582/assets/297834518106,Increase Revenue by 18%+,297834518106,customers/2565189582/adGroupAdAssetViews/191309906541~800782444013~297834518106~HEADLINE,HEADLINE,NOT_APPLICABLE,,,
customers/2565189582/campaigns/23658078636,au-uk_pms_search,customers/2565189582/adGroups/195976497564,au-uk_pms_phrase,7,1,0.08333333333333333,84,customers/2565189582/adGroupAds/195976497564~800674113561,customers/2565189582/ads/800674113561,800674113561,customers/2565189582/assets/340619883710,Easily Manage Letting Property,340619883710,customers/2565189582/adGroupAdAssetViews/195976497564~800674113561~340619883710~HEADLINE,HEADLINE,NOT_APPLICABLE,,,
customers/2565189582/campaigns/22161538996,Hostfully - Search - Brand - US/CAN,customers/2565189582/adGroups/175488384442,Brand Core,37,0,0.5068493150684932,73,customers/2565189582/adGroupAds/175488384442~798879432661,customers/2565189582/ads/798879432661,798879432661,customers/2565189582/assets/336420256849,Manage Your Rental Properties,336420256849,customers/2565189582/adGroupAdAssetViews/175488384442~798879432661~336420256849~HEADLINE,HEADLINE,NOT_APPLICABLE,,Hostfully - Search - Brand - US/CAN,0.0
customers/2565189582/campaigns/23658078636,au-uk_pms_search,customers/2565189582/adGroups/195976497564,au-uk_pms_phrase,2,0,0.0273972602739726,73,customers/2565189582/adGroupAds/195976497564~800674113561,customers/2565189582/ads/800674113561,800674113561,customers/2565189582/assets/340618554170,Scale With Hostfully's PMS,340618554170,customers/2565189582/adGroupAdAssetViews/195976497564~800674113561~340618554170~HEADLINE,HEADLINE,NOT_APPLICABLE,,,
customers/2565189582/campaigns/23657942340,ca-us_pms_search,customers/2565189582/adGroups/191309906541,ca-us_pms_phrase,3,0,0.041666666666666664,72,customers/2565189582/adGroupAds/191309906541~800782444013,customers/2565189582/ads/800782444013,800782444013,customers/2565189582/assets/171399829503,Do less and earn more,171399829503,customers/2565189582/adGroupAdAssetViews/191309906541~800782444013~171399829503~HEADLINE,HEADLINE,NOT_APPLICABLE,,,
customers/2565189582/campaigns/22161538996,Hostfully - Search - Brand - US/CAN,customers/2565189582/adGroups/175488384442,Brand Core,35,0,0.49295774647887325,71,customers/2565189582/adGroupAds/175488384442~798879432661,customers/2565189582/ads/798879432661,798879432661,customers/2565189582/assets/326919619539,Optimize your short-term rentals with Hostfully’s property management software for hosts.,326919619539,customers/2565189582/adGroupAdAssetViews/175488384442~798879432661~326919619539~DESCRIPTION,DESCRIPTION,NOT_APPLICABLE,,Hostfully - Search - Brand - US/CAN,0.0
customers/2565189582/campaigns/23622401230,ca-us_brand_search,customers/2565189582/adGroups/193498596229,ca-us_brand_phrase,5,0,0.07142857142857142,70,customers/2565189582/adGroupAds/193498596229~799044719174,customers/2565189582/ads/799044719174,799044719174,customers/2565189582/assets/297834518124,Book A Free Demo Today,297834518124,customers/2565189582/adGroupAdAssetViews/193498596229~799044719174~297834518124~HEADLINE,HEADLINE,NOT_APPLICABLE,,,
customers/2565189582/campaigns/22161538996,Hostfully - Search - Brand - US/CAN,customers/2565189582/adGroups/175488384442,Brand Core,39,2,0.5652173913043478,69,customers/2565189582/adGroupAds/175488384442~730292443612,customers/2565189582/ads/730292443612,730292443612,customers/2565189582/assets/257791054290,Hostfully Channel Manager,257791054290,customers/2565189582/adGroupAdAssetViews/175488384442~730292443612~257791054290~HEADLINE,HEADLINE,NOT_APPLICABLE,,Hostfully - Search - Brand - US/CAN,0.0
customers/2565189582/campaigns/23619221250,au-uk_brand_search,customers/2565189582/adGroups/193560810923,au-uk_brand_exact,10,1,0.14925373134328357,67,customers/2565189582/adGroupAds/193560810923~799149197700,customers/2565189582/ads/799149197700,799149197700,customers/2565189582/assets/297834518130,Grow Faster With Hostfully,297834518130,customers/2565189582/adGroupAdAssetViews/193560810923~799149197700~297834518130~HEADLINE,HEADLINE,NOT_APPLICABLE,,,
