image_id,filename,relative_path,width_px,height_px,aspect_ratio,orientation,format_class,creative_family_guess,dominant_motif_guess,headline_style_guess,cta_style_guess,palette_guess,status
img_037,1080x1350___SafeZone-4-d57219cc-1ae0-46a8-989e-bc5dedf3113d.png,00_source_images/1080x1350___SafeZone-4-d57219cc-1ae0-46a8-989e-bc5dedf3113d.png,819,1024,0.7998,portrait,portrait_feed,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_038,1080x1350___SafeZone-5-c1321cb2-2a8f-4bf4-9112-bae7c557d27a.png,00_source_images/1080x1350___SafeZone-5-c1321cb2-2a8f-4bf4-9112-bae7c557d27a.png,819,1024,0.7998,portrait,portrait_feed,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_039,1080x1350___SafeZone-6-3140915a-4f0c-4820-a5bc-1a10e1255dc2.png,00_source_images/1080x1350___SafeZone-6-3140915a-4f0c-4820-a5bc-1a10e1255dc2.png,819,1024,0.7998,portrait,portrait_feed,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_040,1080x1350___SafeZone-7-d674390c-2b4d-4fb3-a2d7-b656096e7302.png,00_source_images/1080x1350___SafeZone-7-d674390c-2b4d-4fb3-a2d7-b656096e7302.png,819,1024,0.7998,portrait,portrait_feed,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_041,1080x1350___SafeZone-8-4d6392f0-d32c-40be-bd78-1f8a16b4c5ba.png,00_source_images/1080x1350___SafeZone-8-4d6392f0-d32c-40be-bd78-1f8a16b4c5ba.png,819,1024,0.7998,portrait,portrait_feed,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_042,1080x1350___SafeZone-9-a7957545-deaa-4258-a40c-2e74c8587b04.png,00_source_images/1080x1350___SafeZone-9-a7957545-deaa-4258-a40c-2e74c8587b04.png,819,1024,0.7998,portrait,portrait_feed,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_043,1080x1350___SafeZone-b6102738-7c11-4bb2-a258-21515e0e9fe1.png,00_source_images/1080x1350___SafeZone-b6102738-7c11-4bb2-a258-21515e0e9fe1.png,819,1024,0.7998,portrait,portrait_feed,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_044,1080x1920___SafeZone-10-93acfb20-dcbb-43d1-a2fe-cdda6698c74d.png,00_source_images/1080x1920___SafeZone-10-93acfb20-dcbb-43d1-a2fe-cdda6698c74d.png,576,1024,0.5625,portrait,vertical_story_reel,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_045,1080x1920___SafeZone-11-cd0e681f-25cb-40f3-8484-54900e915dab.png,00_source_images/1080x1920___SafeZone-11-cd0e681f-25cb-40f3-8484-54900e915dab.png,576,1024,0.5625,portrait,vertical_story_reel,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_046,1080x1920___SafeZone-12-a71cf3b9-cebd-485a-b1d6-e45066b6b9cb.png,00_source_images/1080x1920___SafeZone-12-a71cf3b9-cebd-485a-b1d6-e45066b6b9cb.png,576,1024,0.5625,portrait,vertical_story_reel,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
